eq_id,shareClassFIGI,legal_name
EQ0000100,BBG001S5NMX5,MARUBENI CORP
EQ0000101,BBG001S5NN09,ENVIRO-HUB HOLDINGS LTD
EQ0000102,BBG001S5NN36,ADVANCED MICRO DEVICES
EQ0000103,BBG001S5NN45,VENTANA GLOBAL INC
EQ0000104,BBG001S5NN54,AMETEK INC
EQ0000105,BBG001S5NNB7,VOIP-PAL.COM INC
EQ0000106,BBG001S5NNL6,AMGEN INC
EQ0000107,BBG001S5NNS9,FIRST MERCHANTS CORP
EQ0000108,BBG001S5NP04,GOLKOR INC
EQ0000109,BBG001S5NP86,MARQUETTE NATIONAL CORPORAT
EQ0000110,BBG001S5NPF8,AMERICAN SHARED HOSPITAL SER
EQ0000111,BBG001S5NPQ6,AMERICAN TOWER CORP
EQ0000112,BBG001S5NPZ6,H2G LTD
EQ0000113,BBG001S5NQ11,AMERITYRE CORP
EQ0000114,BBG001S5NQB0,AUTONATION INC
EQ0000115,BBG001S5NQH4,ANDREA ELECTRONICS CORP
EQ0000116,BBG001S5NR37,KRS CORP
EQ0000117,BBG001S5NRY3,SMITH (A.O.) CORP
EQ0000118,BBG001S5NS08,AMPCO-PITTSBURGH CORP
EQ0000119,BBG001S5NS35,CLEARFIELD INC
EQ0000120,BBG001S5NSB6,AIR PRODUCTS & CHEMICALS INC
EQ0000121,BBG001S5NSK6,AMPHENOL CORP-CL A
EQ0000122,BBG001S5NSN3,ALUF HOLDINGS INC
EQ0000123,BBG001S5NSY1,APOGEE ENTERPRISES INC
EQ0000125,BBG001S5NTN1,AFFINITY BEVERAGE GROUP INC
EQ0000126,BBG001S5NV83,ARROW FINANCIAL CORP
EQ0000127,BBG001S5NVL8,ART'S-WAY MANUFACTURING CO
EQ0000128,BBG001S5NVP4,ARROW ELECTRONICS INC
EQ0000129,BBG001S5NVR2,ARYT INDUSTRIES LTD
EQ0000130,BBG001S5NVT0,ASA GOLD AND PRECIOUS METALS
EQ0000131,BBG001S5NVZ3,ASSOCIATED BANC-CORP
EQ0000132,BBG001S5NW27,YUASA FUNASHOKU CO LTD
EQ0000133,BBG001S5NWH1,STORA ENSO OYJ-R SHS
EQ0000134,BBG001S5NWJ9,CHUNG FU TEX-INTERNATIONAL
EQ0000135,BBG001S5NWT8,GRUPO AEROPORTUARIO SUR-ADR
EQ0000136,BBG001S5NWY2,ASTEC INDUSTRIES INC
EQ0000137,BBG001S5NX25,VIE FINANCIAL GROUP INC
EQ0000138,BBG001S5NX89,AMTECH SYSTEMS INC
EQ0000139,BBG001S5NXK5,GREYSTONE HOUSING IMPACT INV
EQ0000140,BBG001S5NYJ5,BANK OF CHINA LTD-A
EQ0000141,BBG001S5NYK3,ASTRONICS CORP
EQ0000142,BBG001S5NYM1,ANGSTROM TECHNOLOGIES INC
EQ0000143,BBG001S5NYQ7,ENERPAC TOOL GROUP CORP
EQ0000145,BBG001S5NZ48,AVISTA CORP
EQ0000146,BBG001S5NZ93,BODY BASICS INC
EQ0000147,BBG001S5NZJ2,AVNET INC
EQ0000148,BBG001S5NZM8,AVERY DENNISON CORP
EQ0000149,BBG001S5NZT1,BEITE ENERGY CORP
EQ0000150,BBG001S5P034,AMERICAN EXPRESS CO
EQ0000151,BBG001S5P052,AMREP CORP
EQ0000152,BBG001S5P0V3,BOEING CO/THE
EQ0000153,BBG001S5P0W2,INTL CONSOLIDATED-SPONS ADR
EQ0000154,BBG001S5P0X1,KG DONGBUSTEEL
EQ0000155,BBG001S5P0Y0,BANK OF AMERICA CORP
EQ0000156,BBG001S5P1K3,BAXTER INTERNATIONAL INC
EQ0000157,BBG001S5P1S5,ARISAWA MFG CO LTD
EQ0000158,BBG001S5P258,SPIRITS TIME INTERNATIONAL I
EQ0000159,BBG001S5P285,BEST BUY CO INC
EQ0000160,BBG001S5P294,BRUNSWICK CORP
EQ0000161,BBG001S5P2C0,BCE INC
EQ0000162,BBG001S5P2D9,MELIA HOTELS INTERNATIONAL
EQ0000163,BBG001S5P2H5,NAN YANG DYEING & FINISHING
EQ0000164,BBG001S5P2P6,TOYO ENGINEERING CORP
EQ0000165,BBG001S5P2R4,BALCHEM CORP
EQ0000167,BBG001S5P347,FLANIGAN'S ENTERPRISES INC
EQ0000168,BBG001S5P374,BECTON DICKINSON AND CO
EQ0000169,BBG001S5P3G4,RENUKA FOODS PLC
EQ0000170,BBG001S5P3V7,DELTA OIL & GAS INC
EQ0000171,BBG001S5P3W6,FRANKLIN TEMPLETON INC
EQ0000172,BBG001S5P463,WR BERKLEY CORP
EQ0000173,BBG001S5P4C6,SABRE RESOURCES LTD
EQ0000174,BBG001S5P4G2,BROWN-FORMAN CORP-CLASS A
EQ0000180,BBG001S5P6Q6,BANK OF NEW YORK MELLON CORP
EQ0000181,BBG001S5P6T3,BUCKLE INC/THE
EQ0000182,BBG001S5P6V0,BKF CAPITAL GROUP INC
EQ0000183,BBG001S5P6X8,BLACK HILLS CORP
EQ0000184,BBG001S5P784,BANK OF SOUTH CAROLINA CORP
EQ0000185,BBG001S5P7K0,NORDIQUE CRITICAL METALS INC
EQ0000186,BBG001S5P7Q4,BALL CORP
EQ0000187,BBG001S5P8Q2,BADGER METER INC
EQ0000188,BBG001S5P8V6,FORTRAN CORP
EQ0000189,BBG001S5P8X4,BIOMERICA INC
EQ0000191,BBG001S5PB03,DIAMONDHEAD CASINO CORP
EQ0000192,BBG001S5PBG6,DMC GLOBAL INC
EQ0000193,BBG001S5PBV9,HELLIX VENTURES INC
EQ0000194,BBG001S5PC01,POPULAR INC
EQ0000195,BBG001S5PCB9,BRADY CORPORATION - CL A
EQ0000196,BBG001S5PCL8,BRIDGFORD FOODS CORP
EQ0000197,BBG001S5PCS1,BARNWELL INDUSTRIES INC
EQ0000198,BBG001S5PCX5,BRT APARTMENTS CORP
EQ0000199,BBG001S5PDC6,BASSETT FURNITURE INDS
EQ0000200,BBG001S5PFG7,BERTAM ALLIANCE BHD
EQ0000201,BBG001S5PFQ6,MATERION CORP
EQ0000202,BBG001S5PGL9,KAUFMAN & BROAD SA
