symbol,name_english,name_arabic,isin,exchange,country,country_code,sector_code,sector_name_english,sector_name_arabic,market_code,instrument_type,status,logo_url
XSSENAAT1225,SENAAT SUKUK LIMITED 4.76% DEC 2025,صكوك صناعات المحدودة,XS1917569243,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1327443
XSTAQA0129,TAQA GMTN 4.375% JAN 2029,"سندات بقيمة500,000,000 دوﻻر امريكي بفائدة ثابته4.375% تستحق 2029",XS2600246552,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQA0337,Abu Dhabi National Energy Co PJSC 4.75% Mar2037,شركة أبو ظبي الوطنية للطاقة ش.م.ع سند أخضر,XS2911046147,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQA0433,TAQA GMTN 4.696% APR 2033,"سندات خضراء بقيمة1,000,000,000دوﻻر امريكي بفائدة ثابته4.696% تستحق 2033",XS2600248335,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQA1031,Abu Dhabi National Energy Co PJSC 4.375% Oct2031,شركة أبو ظبي الوطنية للطاقة ش.م.ع سند عادي,XS2911044019,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN0425,TAQA GMTN 4.375% APR 2025,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS1808737594,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN0428,TAQA GMTN 2% APR 2028,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS2333388184,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN0430,TAQA GMTN 4.875% APR 2030,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS1808738212,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN0451,TAQA GMTN 3.4% APR 2051,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS2333388937,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN0626,TAQA GMTN 4.375% JUN 2026,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS1435072464,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN1036,TAQA GMTN 6.500% OCT 2036,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS0272949016,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
XSTAQATN1049,TAQA GMTN 4.000% OCT 2049,شركة أبو ظبي الوطنية للطاقة ش.م.ع,XS2060897506,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2529818
