symbol,name_english,name_arabic,isin,exchange,country,country_code,sector_code,sector_name_english,sector_name_arabic,market_code,instrument_type,status,logo_url
HH,HILY HOLDING PJSC,شركة هيلي القابضة ش .م.ع,AEF000101012,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950772
ICAP,Investcorp Capital PLC,شركة انفستكورب كابيتال بي ال سي,AEE01354I230,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2973857
IH,Insurance House,دار التأمين ش م ع,AEI000401010,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000018
IHC,International Holding Company PJSC,الشركة العالمية القابضة ش م ع,AEI000201014,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950763
INB,Invest Bank,بنك اﻷ ستثمار,AEI000101016,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951446
INDI,Lunate S&P India Shariah ETF,صندوق لونيت ستاندرد اند بورز الهند شريعة المتداول ,AEC01365C249,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
INVICTUS,Invictus Investment Company PLC,شركة انفيكتوس للاستثمار بي ال سي,AEE01078I227,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2549892
JPANI,Lunate S&P Japan UCITS ETF,صندوق لونيت ستاندرد اند بورز اليابان يوسيتس المتداول,IE000M10VZK6,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
JULPHAR,Gulf Pharmaceutical Industries,شركة الخليج للصناعات الدوائية,AEG000201018,ADX,United Arab Emirates,AE,11,Health Care,الرعاية الصحية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950773
KICO,AL KHALEEJ INVESTMENT,الخليج اﻻستثمارية,AEG000701017,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992724
KRBN,KraneShares Global Carbon Strategy ETF,كرين شيرز جلوبال  كاربون استراتيجي إي تي إف,US5007676787,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4620536
KWEB,KraneShares CSI China Internet ETF,كرين شيرز  لمؤشر الانترنت الصيني المتداول,US5007673065,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4620536
KWIN,KraneShares Wahed Alternative Income Index ETF,صندوق كرين شيرز واحد لمؤشر الدخل البديل المتداول في البورصة,US5007672232,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4622348
KWTI,Lunate S&P Kuwait Shariah ETF,صندوق لونيت ستاندرد اند بورز الكويت شريعة المتداول ,AEC000730056,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
LULU,LULU RETAIL HOLDINGS PLC,شركة لولو للتجزئة القابضة بي ال سي,AEE01487L240,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3309721
LUXURY,Boreas S&P Absolute Luxury UCITS ETF – AED (Dist),صندوق بورياس ستاندرد آند بورز للسلع الفاخرة يوسيتس المتداول بالدرهم الإماراتي - ذات العائد الموزع,IE000UK8D8Q4,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4603636
MAIR,MAIR GROUP - P.J.S.C,.مجموعة مير - ش.م.ع,AEE01571M249,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3342501
MANAZEL,Manazel PJSC,شركة منازل ش م خ,AEM000601017,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077344
MBME,MBME GROUP Private Joint Stock Company,مجموعةام بي ام اي شركة مساهمة خاصة,AEE01201M235,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2821446
METHAQ,Methaq Takaful Insurance Company,شركة ميثاق للتأمين التكافلي,AEM000201016,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950673
MODON,Modon Holding PSC,مدن القابضة ش.م.خ,AEA006501018,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3253680
MVFN5Y0423,Government of Maldives Notes 2031 - 5.5%,سندات حكومة جمهورية المالديف,MV0FN5Y04237,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000045
NBF,National Bank Of Fujairah,بنك الفجيرة الوطني,AEN000801011,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000019
NBQ,National Bank Of Umm Al Qaiwain,بنك ام القيوين الوطني,AEN000701013,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950774
NCTH,National Corporation for Tourism & Hotels,المؤسسة الوطنية للسياحة و الفنادق,AEN001001017,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951115
NMDC,NMDC Group PJSC,ان ام دي سي جروب - ش.م.ع,AEN000401010,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077345
NMDCENR,NMDC Energy P.J.S.C,ان ام دي سي انيرجي - ش.م.ع,AEE01456N241,ADX,United Arab Emirates,AE,8,Energy,الطاقة,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3257173
OEIHC,Oman & Emirates Investment Holding Co,شركة عمان واﻻمارات لﻼستثمار القابضة,OM0000001681,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950674
ORAS,Orascom Construction Plc,"
شركة أوراسكوم كونستراكشون بي إل سي",AEE01702O253,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4516640
ORDS,OOREDOO,أريد,QA0007227737,ADX,United Arab Emirates,AE,9,Telecommunication,الاتصالات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081090
PALMS,PALMS SPORTS PrJSC,شركة بالمز الرياضية ش م خ,AEP000201019,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2246544
PHX,Phoenix Group PLC,فينكس كروب بي ال سي,AEE01357P238,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2983004
PKSTN,Lunate S&P Pakistan UCITS ETF,صندوق لونيت ستاندرد اند بورز باكستان يوسيتس المتداول,IE00088ID6F8,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
PRESIGHT,PRESIGHT AI HOLDING PLC,بريسايت ايه اي هولدينغ بي ال سي,AEE01200P230,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2864648
PUREHEALTH,Pure Health Holding PJSC,بيور  هيلث القابضة ش.م.ع,AEE01362P238,ADX,United Arab Emirates,AE,11,Health Care,الرعاية الصحية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3001993
QIC,Umm Al Qaiwain General Investment Co. P.S.C,شركةام القوين لﻼستثمارات العامه,AEU000701018,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000020
QUANTM,Boreas Solactive Quantum Computing UCITS ETF – Share Class B – Distributing,بورياس سولاكتيف للحوسبة الكمومية يوستس المتداول – الشريحة (ب) – ذات العائد الموزع,IE000RVOB8A6,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4527581
RAKBANK,The National Bank of Ras Al Khaimah,بنك رأس الخيمه الوطني,AEN000601015,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077346
RAKCEC,RAK Ceramics PJSC,شركة سيراميك رأس الخيمة,AER000301013,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992727
RAKNIC,Ras Alkhaima National Insurance Co,شركة رأس الخيمة الوطنية للتأمين,AER000501018,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951116
RAKPROP,RAK Properties,رأس الخيمة العقارية,AER000601016,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066693
RAKWCT,RAK Co. for White Cement & Construction Materials,شركة رأس الخيمة لﻼسمنت اﻷبيض والمواد اﻻنشائية,AER000101017,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000021
RAPCO,RAPCO Investment PJSC,رابكو لﻼ ستثمار ش .م.ع,AER000201015,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2889769
RPM,Response Plus Holding PrJSC,شركه ريسبونس بلس القابضه ش م خ,AER001001018,ADX,United Arab Emirates,AE,11,Health Care,الرعاية الصحية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2398193
SAGA,SAGASSE INVESTMENT COMPANY PLC,شركة ساجاس للاستثمار بي ال س,AEE01700S258,ADX,United Arab Emirates,AE,1,Financials,المالية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4496565
SAUDIA,Lunate S&P KSA Shariah ETF,صندوق لونيت ستاندرد اند بورز السعودية شريعة المتداول,AEC000730049,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
SAWAEED,Sawaeed Holding P.J.S.C,سواعد القابضة ش.م.خ,AES001101014,ADX,United Arab Emirates,AE,1,Financials,المالية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2174817
SCIDC,Sharjah Cement and Industrial Development Co,شركة الشارقة لﻸ سمنت و التنمية الصناعية,AES000401019,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950776
SIB,Sharjah Islamic Bank,مصرف الشارقةاﻻسﻼمي,AES000201013,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077347
SIBRI26,SIB Rights Issue 2026,حقوق اكتتاب أسهم مصرف الشارقة الإسلامي 2026,AER01920S265,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Delisted,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4343731
SICO,Sharjah Insurance Company,شركة الشارقة للتأمين,AES000301011,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950676
SPACE42,SPACE42 PLC,سبيس42 بي ال سي,AEE01122B228,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2707134
SUDATEL,Sudatel Telecommunications Group Company Limited,شركة مجموعة سوداتل لﻼتصاﻻ ت المحدودة- سوداتل,SD000A0F5KV7,ADX,United Arab Emirates,AE,9,Telecommunication,الاتصالات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066694
SUKUK,Lunate JP Morgan Global Sukuk ETF,صندوق لونيت جي بي مورجان الصكوك العالمية المتداول ,AEC01443C244,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
TAQA,Abu Dhabi National Energy Company,شركة ابوظبي الوطنية للطاقة,AEA002401015,ADX,United Arab Emirates,AE,14,Utilities,المرافق,510,Equity,Delisted,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1000022
TKFL,Abu Dhabi National Takaful Co,شركة أبوظبي الوطنية للتكافل,AEA001801017,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081092
TNI,The National Investor PRJSC,المستثمر الوطني ش م خ,AEN001701012,ADX,United Arab Emirates,AE,1,Financials,المالية,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950777
TURKI,Lunate S&P Turkey Shariah ETF,صندوق لونيت ستاندرد اند بورز تركيا شريعة المتداول ,AEC01084C220,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
UAB,United Arab Bank,البنك العربي المتحد,AEU000601010,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081191
UABRI25,UAB Rights Issue 2025,حقوق اكتتاب أسهم البنك العربي المتحد 2025,AER01659U257,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Delisted,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081191
UAEA,Lunate S&P UAE Shariah ETF,صندوق لونيت ستاندرد اند بورز الامارات شريعة المتداول,AEC000730023,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
UAED,Lunate S&P UAE UCITS ETF,صندوق لونيت ستاندرد اند بورز الامارات يوسيتس المتداول,IE00BKDMN700,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
UNION,Union Insurance Company,شركة اﻻتحاد للتامين,AEU000501012,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066695
USGRWTH,Lunate S&P US Shariah Growth ETF,صندوق لونيت ستاندرد اند بورز الولايات المتحدة شريعة لأسهم النمو المتداول ,AEC01080C228,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
USTBILL,Lunate iBOXX US Treasury Bill ETF,صندوق لونيت ايبوكس أذون الخزانة الأمريكية المتداول ,AEC01574C253,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
USVALUE,Lunate S&P US Shariah Value ETF,صندوق لونيت ستاندرد اند بورز الولايات المتحدة شريعة للأسهم القًيِّمة المتداول ,AEC01079C220,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
WAHA,Waha Capital Company,الواحة كابيتال,AEA000701010,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992726
XSADGB0429,EMIRATE OF ABU DHABI BONDS APR29 4.875%,"U.S.$1,750,000,000 4.875 per cent",XS2811094130,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGB0434,EMIRATE OF ABU DHABI BONDS APR34 5%,"U.S.$1,500,000,000 5.000 per cent",XS2811094486,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGB0454,EMIRATE OF ABU DHABI BONDS APR54 5.5%,"U.S.$1,750,000,000 5.500 per cent",XS2811094213,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGB0526,EMIRATE OF ABU DHABI BONDS MAY26 3.125%,"U.S.$2,500,000,000   3.125 Per cent. Notes due 2026",XS1402929746,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGB1027,EMIRATE OF ABU DHABI BONDS OCT27 3.125%,"U.S.$4,000,000,000   3.125 Per cent. Notes due 2027",XS1696892295,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGB1047,EMIRATE OF ABU DHABI BONDS OCT47 4.125%,"U.S.$3,000,000,000   4.125 Per cent. Notes due 2047",XS1696899035,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2839395
XSADGMTN0425,EMIRATE OF ABU DHABI NOTES 2025 - 2.500%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2125308085,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0430,EMIRATE OF ABU DHABI NOTES 2030 - 3.125%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2125308168,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0433,EMIRATE OF ABU DHABI BONDS APR33,سندات امارة أبو ظبي متوسطة اﻷجل العالمية,XS3350938109,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0450,EMIRATE OF ABU DHABI NOTES 2050 - 3.875%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2125308242,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0628,EMIRATE OF ABU DHABI NOTES 2028 - 1.625%,سندات امارة أبوظبي متوسطةاﻷجل العالمية,XS2348236980,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0929,EMIRATE OF ABU DHABI NOTES 2029 - 2.500%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2057865979,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0931,EMIRATE OF ABU DHABI NOTES 2031 - 1.700%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2225210413,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0936,EMIRATE OF ABU DHABI NOTES 2036 – 4.75%,سندات امارة أبو ظبي متوسطة اﻷجل العالمية 2036 - 4.75%,XS3389236434,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0949,EMIRATE OF ABU DHABI NOTES 2049 - 3.125%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2057866191,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0951,EMIRATE OF ABU DHABI NOTES 2051 - 3%,NA,XS2386638816,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN0970,EMIRATE OF ABU DHABI NOTES 2070 - 2.700%,سندات امارة أبوظبي متوسطة اﻷ جل العالمية,XS2225210330,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADGMTN9031,EMIRATE OF ABU DHABI NOTES 2031 - 1.875%,برنامج السندات العالمية متوسطة اﻷ جل الصادرة عن امارة أبو ظبي,XS2386638733,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1768552
XSADIBS1128,ADIB SUKUK CO II LTD NOV 2028 - 5.695%,شركة صكوك  أديب 2 المحدودة,XS2713768807,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3001895
XSADPMTN0531,ABU DHABI PORTS CO Euro MTN 2.5% MAY2031,شركة موانيء أبو ظبي ش .م.ع,XS2338173680,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2335595
XSADQ0529,ADQ BONDS MAY2029 5.375%,سندات شركة أبوظبي الوطنية القابضة,XS2816006303,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSADQ0530,ADQ BONDS MAY2030 4.5%,سندات شركة أبوظبي الوطنية القابضة,XS3061310101,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSADQ0534,ADQ BONDS MAY2034 5.5%,سندات شركة أبوظبي الوطنية القابضة,XS2816006725,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSADQ0535,ADQ BONDS MAY2035 5%,سندات شركة أبوظبي الوطنية القابضة,XS3061312909,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSADQ1031,ADQ BONDS OCT2031 4.375%,شركة أبوظبي التنموية القابضة ش.م.ع - 7 سنوات,XS2907161363,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSADQ1054,ADQ BONDS OCT2054 5.25%,شركة أبوظبي التنموية القابضة ش.م.ع - 30 سنة,XS2907245208,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3162022
XSALDAR0335,ALDAR PROPERTIES PJSC 5.250% Notes due Mar2035,الصكوك الخضراء الصادرة عن شركة الدار العقارية ش.م.ع,XS2854315814,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1267900
XSALDAR0455,ALDAR PROPERTIES PJSC 6.6227% Notes due Apr2055,سندات شركة الدار العقارية ش م ع بفائدة 6.6227% استحقاق إبريل 2055,XS2975294393,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066680
XSALDARHB0456,ALDAR PROPERTIES PJSC 5.875% Notes due Apr2056,"السند الهجين التابع لشركة الدار العقارية ش.م.ع  
سندات تابعة قابلة لإعادة الضبط بفائدة 5.875% تستحق ابريل 2056",XS3261145539,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066680
XSALDARS0533,ALDAR INV PROP SUKUK LTD 4.875% MAY33,صكوك الدار للاستثمار العقاري المحدودة,XS2627338580,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066680
XSALDARS0534,ALDAR INV PROP SUKUK LTD 5.5% MAY34,صكوك الدار لﻼ ستثمار العقاري      المحدودة,XS2816816305,ADX,United Arab Emirates,AE,0,Other,آخر,519,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1267900
XSALDARS0925,ALDAR INVESTMENTS SUKUK 4.75% SEP 2025,صكوك الدار المحدودة,XS1887479902,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1267900
XSALDARS1029,ALDAR SUKUK NO.2 LIMITED 3.875% OCT 2029,الدار صكوك (2) المحدودة,XS2068063465,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1753655
XSEGEMTN0528,ETISALAT GROUP EMT NOTES 0.375% MAY 2028,"2028 سندات بقيمة 500,000,000 يورو،بفائدة ثابثة 0.375%  تستحق عام",XS2339427747,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951112
XSEGEMTN0533,ETISALAT GROUP EMT NOTES 0.875% MAY 2033,"2033 سندات بقيمة 500,000,000 يورو،بفائدة ثابتة 0.875% تستحق عام",XS2339427820,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951112
XSFABDB0728,FAB Digital Bond due 2028,السند الرقمي لبنك أبو ظبي الأول 2028,HK0001155693,ADX,United Arab Emirates,AE,0,Other,آخر,511,Debt,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992725
